provider,provider_lot_id,airport_code,name,address1,city,state,postal_code,latitude,longitude,raw_payload
parkwhiz,pw_ord_1,ORD,Joe's Airport Parking,9420 River St,Schiller Park,IL,60176,41.9739,-87.8694,"{""listing_id"": ""pw_ord_1"", ""quote_id"": ""pwq_ord_1"", ""location_name"": ""Joe's Airport Parking"", ""address"": ""9420 River St"", ""city"": ""Schiller Park"", ""state"": ""IL"", ""postal_code"": ""60176"", ""lat"": 41.9739, ""lng"": -87.8694, ""currency"": ""USD"", ""total_price"": 27.99, ""is_bookable"": true, ""site_url"": ""https://www.parkwhiz.com/p/chicago-parking/joes-airport-parking/"", ""phone"": ""(773) 555-0101"", ""capacity"": 180, ""hours"": ""24/7"", ""operating_hours"": {""open"": ""00:00"", ""close"": ""23:59""}, ""non_bookable_rates"": []}"
parkwhiz,pw_ord_2,ORD,Skyline Valet Garage,10100 Mannheim Rd,Rosemont,IL,60018,41.9962,-87.8854,"{""listing_id"": ""pw_ord_2"", ""quote_id"": ""pwq_ord_2"", ""location_name"": ""Skyline Valet Garage"", ""address"": ""10100 Mannheim Rd"", ""city"": ""Rosemont"", ""state"": ""IL"", ""postal_code"": ""60018"", ""lat"": 41.9962, ""lng"": -87.8854, ""currency"": ""USD"", ""total_price"": 34.5, ""is_bookable"": true, ""site_url"": ""https://www.parkwhiz.com/p/chicago-parking/skyline-valet-garage/"", ""phone"": ""(773) 555-0102"", ""capacity"": 120, ""hours"": ""24/7"", ""operating_hours"": {""open"": ""00:00"", ""close"": ""23:59""}, ""non_bookable_rates"": []}"
parkwhiz,pw_ord_3,ORD,Hotel Blue Self Park,5440 N River Rd,Rosemont,IL,60018,41.9798,-87.8621,"{""listing_id"": ""pw_ord_3"", ""quote_id"": ""pwq_ord_3"", ""location_name"": ""Hotel Blue Self Park"", ""address"": ""5440 N River Rd"", ""city"": ""Rosemont"", ""state"": ""IL"", ""postal_code"": ""60018"", ""lat"": 41.9798, ""lng"": -87.8621, ""currency"": ""USD"", ""total_price"": 21.25, ""is_bookable"": true, ""site_url"": ""https://www.parkwhiz.com/p/chicago-parking/hotel-blue-self-park/"", ""phone"": ""(773) 555-0103"", ""capacity"": 90, ""hours"": ""24/7"", ""operating_hours"": {""open"": ""00:00"", ""close"": ""23:59""}, ""non_bookable_rates"": []}"
spothero,sh_ord_1,ORD,Joes Airport Parking,9420 River Street,Schiller Park,IL,60176,41.9741,-87.8692,"{""facility_id"": ""sh_ord_1"", ""rate_id"": ""shr_ord_1"", ""facility_name"": ""Joes Airport Parking"", ""street_address"": ""9420 River Street"", ""municipality"": ""Schiller Park"", ""region"": ""IL"", ""zip"": ""60176"", ""latitude"": 41.9741, ""longitude"": -87.8692, ""currency_code"": ""USD"", ""price"": 28.49, ""display_price"": ""$28.49"", ""review_score"": 4.6, ""review_count"": 318, ""amenities"": [""self_park"", ""shuttle"", ""covered_available""], ""shuttle_frequency_minutes"": 15, ""distance_to_airport_miles"": 2.4, ""is_refundable"": true, ""inventory_status"": ""available""}"
spothero,sh_ord_2,ORD,Skyline Valet,10100 Mannheim Road,Rosemont,IL,,41.996,-87.8853,"{""facility_id"": ""sh_ord_2"", ""rate_id"": ""shr_ord_2"", ""facility_name"": ""Skyline Valet"", ""street_address"": ""10100 Mannheim Road"", ""municipality"": ""Rosemont"", ""region"": ""IL"", ""zip"": null, ""latitude"": 41.996, ""longitude"": -87.8853, ""currency_code"": ""USD"", ""price"": 34.95, ""display_price"": ""$34.95"", ""review_score"": 4.4, ""review_count"": 190, ""amenities"": [""valet"", ""shuttle""], ""shuttle_frequency_minutes"": 10, ""distance_to_airport_miles"": 2.9, ""is_refundable"": true, ""inventory_status"": ""available""}"
spothero,sh_ord_3,ORD,River North Event Parking,10 Arena Boulevard,Chicago,IL,60610,41.901,-87.6375,"{""facility_id"": ""sh_ord_3"", ""rate_id"": ""shr_ord_3"", ""facility_name"": ""River North Event Parking"", ""street_address"": ""10 Arena Boulevard"", ""municipality"": ""Chicago"", ""region"": ""IL"", ""zip"": ""60610"", ""latitude"": 41.901, ""longitude"": -87.6375, ""currency_code"": ""USD"", ""price"": 22.0, ""display_price"": ""$22.00"", ""review_score"": 4.1, ""review_count"": 74, ""amenities"": [""self_park""], ""shuttle_frequency_minutes"": null, ""distance_to_airport_miles"": 16.8, ""is_refundable"": false, ""inventory_status"": ""available""}"
cheap_airport_parking,cap_ord_1,ORD,Joe's Airport Parking,9420 River St.,Schiller Park,IL,60176,41.9738,-87.8696,"{""id"": ""cap_ord_1"", ""quote_ref"": ""capq_ord_1"", ""title"": ""Joe's Airport Parking"", ""address_1"": ""9420 River St."", ""city_name"": ""Schiller Park"", ""state_code"": ""IL"", ""zip_code"": ""60176"", ""geo"": {""lat"": 41.9738, ""lng"": -87.8696}, ""pricing"": {""currency"": ""USD"", ""total"": 27.5, ""display_total"": ""$27.50"", ""daily_from"": 9.95}, ""lot_type"": ""self"", ""parking_type"": ""outdoor"", ""airport_shuttle"": {""included"": true, ""frequency_minutes"": 15, ""hours"": ""24/7""}, ""reviews"": {""rating"": 4.5, ""count"": 205}, ""free_cancellation"": true}"
cheap_airport_parking,cap_ord_2,ORD,Skyline Valet Garage,10100 Mannheim Rd.,Rosemont,IL,60018,41.9963,-87.8852,"{""id"": ""cap_ord_2"", ""quote_ref"": ""capq_ord_2"", ""title"": ""Skyline Valet Garage"", ""address_1"": ""10100 Mannheim Rd."", ""city_name"": ""Rosemont"", ""state_code"": ""IL"", ""zip_code"": ""60018"", ""geo"": {""lat"": 41.9963, ""lng"": -87.8852}, ""pricing"": {""currency"": ""USD"", ""total"": 34.0, ""display_total"": ""$34.00"", ""daily_from"": 11.5}, ""lot_type"": ""valet"", ""parking_type"": ""indoor"", ""airport_shuttle"": {""included"": true, ""frequency_minutes"": 10, ""hours"": ""24/7""}, ""reviews"": {""rating"": 4.3, ""count"": 121}, ""free_cancellation"": true}"
cheap_airport_parking,cap_ord_3,ORD,Rosemont Hotel Parking,5440 N River Road,Rosemont,IL,,41.9799,-87.862,"{""id"": ""cap_ord_3"", ""quote_ref"": ""capq_ord_3"", ""title"": ""Rosemont Hotel Parking"", ""address_1"": ""5440 N River Road"", ""city_name"": ""Rosemont"", ""state_code"": ""IL"", ""zip_code"": null, ""geo"": {""lat"": 41.9799, ""lng"": -87.862}, ""pricing"": {""currency"": ""USD"", ""total"": 22.1, ""display_total"": ""$22.10"", ""daily_from"": 8.75}, ""lot_type"": ""self"", ""parking_type"": ""outdoor"", ""airport_shuttle"": {""included"": true, ""frequency_minutes"": 20, ""hours"": ""24/7""}, ""reviews"": {""rating"": 4.1, ""count"": 88}, ""free_cancellation"": true}"
parkwhiz,pw_lax_1,LAX,Sunset Airport Parking,6151 W Century Blvd,Los Angeles,CA,90045,33.9455,-118.3895,"{""listing_id"": ""pw_lax_1"", ""quote_id"": ""pwq_lax_1"", ""location_name"": ""Sunset Airport Parking"", ""address"": ""6151 W Century Blvd"", ""city"": ""Los Angeles"", ""state"": ""CA"", ""postal_code"": ""90045"", ""lat"": 33.9455, ""lng"": -118.3895, ""currency"": ""USD"", ""total_price"": 28.75, ""is_bookable"": true, ""site_url"": ""https://www.parkwhiz.com/p/los-angeles-parking/sunset-airport-parking/"", ""phone"": ""(310) 555-0101"", ""capacity"": 260, ""hours"": ""24/7"", ""operating_hours"": {""open"": ""00:00"", ""close"": ""23:59""}, ""non_bookable_rates"": []}"
