provider,provider_quote_id,provider_lot_id,airport_code,start_utc,end_utc,currency,price_total,raw_payload
parkwhiz,pwq_ord_1,pw_ord_1,ORD,2026-03-28T10:00:00,2026-03-30T18:00:00,USD,27.99,"{""listing_id"": ""pw_ord_1"", ""quote_id"": ""pwq_ord_1"", ""location_name"": ""Joe's Airport Parking"", ""address"": ""9420 River St"", ""city"": ""Schiller Park"", ""state"": ""IL"", ""postal_code"": ""60176"", ""lat"": 41.9739, ""lng"": -87.8694, ""currency"": ""USD"", ""total_price"": 27.99, ""is_bookable"": true, ""site_url"": ""https://www.parkwhiz.com/p/chicago-parking/joes-airport-parking/"", ""phone"": ""(773) 555-0101"", ""capacity"": 180, ""hours"": ""24/7"", ""operating_hours"": {""open"": ""00:00"", ""close"": ""23:59""}, ""non_bookable_rates"": []}"
parkwhiz,pwq_ord_2,pw_ord_2,ORD,2026-03-28T10:00:00,2026-03-30T18:00:00,USD,34.5,"{""listing_id"": ""pw_ord_2"", ""quote_id"": ""pwq_ord_2"", ""location_name"": ""Skyline Valet Garage"", ""address"": ""10100 Mannheim Rd"", ""city"": ""Rosemont"", ""state"": ""IL"", ""postal_code"": ""60018"", ""lat"": 41.9962, ""lng"": -87.8854, ""currency"": ""USD"", ""total_price"": 34.5, ""is_bookable"": true, ""site_url"": ""https://www.parkwhiz.com/p/chicago-parking/skyline-valet-garage/"", ""phone"": ""(773) 555-0102"", ""capacity"": 120, ""hours"": ""24/7"", ""operating_hours"": {""open"": ""00:00"", ""close"": ""23:59""}, ""non_bookable_rates"": []}"
parkwhiz,pwq_ord_3,pw_ord_3,ORD,2026-03-28T10:00:00,2026-03-30T18:00:00,USD,21.25,"{""listing_id"": ""pw_ord_3"", ""quote_id"": ""pwq_ord_3"", ""location_name"": ""Hotel Blue Self Park"", ""address"": ""5440 N River Rd"", ""city"": ""Rosemont"", ""state"": ""IL"", ""postal_code"": ""60018"", ""lat"": 41.9798, ""lng"": -87.8621, ""currency"": ""USD"", ""total_price"": 21.25, ""is_bookable"": true, ""site_url"": ""https://www.parkwhiz.com/p/chicago-parking/hotel-blue-self-park/"", ""phone"": ""(773) 555-0103"", ""capacity"": 90, ""hours"": ""24/7"", ""operating_hours"": {""open"": ""00:00"", ""close"": ""23:59""}, ""non_bookable_rates"": []}"
spothero,shq_ord_1,sh_ord_1,ORD,2026-03-28T10:00:00,2026-03-30T18:00:00,USD,25.49,"{""facility_id"": ""sh_ord_1"", ""rate_id"": ""shq_ord_1"", ""facility_name"": ""Joe's Airport Parking"", ""street_address"": ""123 Main Street"", ""municipality"": ""Chicago"", ""region"": ""IL"", ""zip"": ""60666"", ""latitude"": 41.9743, ""longitude"": -87.9071, ""currency_code"": ""USD"", ""price"": 25.49}"
spothero,shq_ord_2,sh_ord_2,ORD,2026-03-28T10:00:00,2026-03-30T18:00:00,USD,30.99,"{""facility_id"": ""sh_ord_2"", ""rate_id"": ""shq_ord_2"", ""facility_name"": ""Skyline Valet"", ""street_address"": ""500 Remote Road"", ""municipality"": ""Chicago"", ""region"": ""IL"", ""zip"": null, ""latitude"": 41.9813, ""longitude"": -87.901, ""currency_code"": ""USD"", ""price"": 30.99}"
spothero,shq_ord_3,sh_ord_3,ORD,2026-03-28T10:00:00,2026-03-30T18:00:00,USD,22.0,"{""facility_id"": ""sh_ord_3"", ""rate_id"": ""shq_ord_3"", ""facility_name"": ""River North Event Parking"", ""street_address"": ""10 Arena Blvd"", ""municipality"": ""Chicago"", ""region"": ""IL"", ""zip"": ""60610"", ""latitude"": 41.901, ""longitude"": -87.6375, ""currency_code"": ""USD"", ""price"": 22.0}"
cheap_airport_parking,capq_ord_1,cap_ord_1,ORD,2026-03-28T10:00:00,2026-03-30T18:00:00,USD,27.5,"{""id"": ""cap_ord_1"", ""quote_ref"": ""capq_ord_1"", ""title"": ""Joe's Airport Parking"", ""address_1"": ""9420 River St."", ""city_name"": ""Schiller Park"", ""state_code"": ""IL"", ""zip_code"": ""60176"", ""geo"": {""lat"": 41.9738, ""lng"": -87.8696}, ""pricing"": {""currency"": ""USD"", ""total"": 27.5, ""display_total"": ""$27.50"", ""daily_from"": 9.95}, ""lot_type"": ""self"", ""parking_type"": ""outdoor"", ""airport_shuttle"": {""included"": true, ""frequency_minutes"": 15, ""hours"": ""24/7""}, ""reviews"": {""rating"": 4.5, ""count"": 205}, ""free_cancellation"": true}"
cheap_airport_parking,capq_ord_2,cap_ord_2,ORD,2026-03-28T10:00:00,2026-03-30T18:00:00,USD,34.0,"{""id"": ""cap_ord_2"", ""quote_ref"": ""capq_ord_2"", ""title"": ""Skyline Valet Garage"", ""address_1"": ""10100 Mannheim Rd."", ""city_name"": ""Rosemont"", ""state_code"": ""IL"", ""zip_code"": ""60018"", ""geo"": {""lat"": 41.9963, ""lng"": -87.8852}, ""pricing"": {""currency"": ""USD"", ""total"": 34.0, ""display_total"": ""$34.00"", ""daily_from"": 11.5}, ""lot_type"": ""valet"", ""parking_type"": ""indoor"", ""airport_shuttle"": {""included"": true, ""frequency_minutes"": 10, ""hours"": ""24/7""}, ""reviews"": {""rating"": 4.3, ""count"": 121}, ""free_cancellation"": true}"
cheap_airport_parking,capq_ord_3,cap_ord_3,ORD,2026-03-28T10:00:00,2026-03-30T18:00:00,USD,22.1,"{""id"": ""cap_ord_3"", ""quote_ref"": ""capq_ord_3"", ""title"": ""Rosemont Hotel Parking"", ""address_1"": ""5440 N River Road"", ""city_name"": ""Rosemont"", ""state_code"": ""IL"", ""zip_code"": null, ""geo"": {""lat"": 41.9799, ""lng"": -87.862}, ""pricing"": {""currency"": ""USD"", ""total"": 22.1, ""display_total"": ""$22.10"", ""daily_from"": 8.75}, ""lot_type"": ""self"", ""parking_type"": ""outdoor"", ""airport_shuttle"": {""included"": true, ""frequency_minutes"": 20, ""hours"": ""24/7""}, ""reviews"": {""rating"": 4.1, ""count"": 88}, ""free_cancellation"": true}"
parkwhiz,pwq_lax_1,pw_lax_1,LAX,2026-03-28T10:00:00,2026-03-30T18:00:00,USD,28.75,"{""listing_id"": ""pw_lax_1"", ""quote_id"": ""pwq_lax_1"", ""location_name"": ""Sunset Airport Parking"", ""address"": ""6151 W Century Blvd"", ""city"": ""Los Angeles"", ""state"": ""CA"", ""postal_code"": ""90045"", ""lat"": 33.9455, ""lng"": -118.3895, ""currency"": ""USD"", ""total_price"": 28.75, ""is_bookable"": true, ""site_url"": ""https://www.parkwhiz.com/p/los-angeles-parking/sunset-airport-parking/"", ""phone"": ""(310) 555-0101"", ""capacity"": 260, ""hours"": ""24/7"", ""operating_hours"": {""open"": ""00:00"", ""close"": ""23:59""}, ""non_bookable_rates"": []}"
